id	section	claim	numbers	source	verified_by	date	status
C11	5_edge duty	Dense yolo26n duty windows 5.14/5.08/5.01/4.98 W vs 5.04 W idle (engine-only); net mJ per decision 20.0/20.0/-30/-298 at 5/2/1/0.2 Hz -> no constant per-decision cost claim; gross near the platform floor	see numbers	device_results jetson_orin_duty_power.tsv; Codex-critic recompute	Codex-critic	2026-09-12	verified (constant-20 mJ claim withdrawn)
C12	5_edge HIL	RF-n replay: 30 detector calls on 70 ticks, 0 missed deadlines; fault runs report unknown/stale	30/70, 0	device_results/deployment_repair_20260907/orin_7W/20260907T131114_RFcascade_none/summary.json (+_disconnect/_stale/_overload)	ICRA2027-edge	2026-09-12	verified for the tested fixtures; 'never a silent negative' withdrawn (9/9 recheck fixtures emit VALID on loss during inference); repaired runtime: 60 s on-board callback-scope diagnostic passed (device_results/.../source_health_20260912/BOARD_VALIDATION.json, status passed_at_declared_callback_diagnostic_scope; software faults only, no physical USB reconnect/GUI/power/accuracy) - historical windows unchanged; 60 s callback diagnostic independently verified by Codex-critic (source_health_board_audit: closed-gate coverage, 7 unavailable/53 valid emissions, recovery ~1.03-1.05 s after suppression; not a physical reconnect experiment); Limitations clause accepted
C13	4_experiments	yolo26s dense +0.069 [+0.008,+0.136]; yolo26n +0.047 [-0.013,+0.104] (pooled paired bootstrap, RESULTS.md 'dense supervision (T1 teacher) - canonical'; the +0.048 previously recorded here is the mean of the three same-seed pair differences, not the paired-bootstrap point estimate; corrected 2026-09-14 on writer query); holdout (c)-(b+) +0.072 [+0.017,+0.141]	see numbers	paper/RESULTS.md (holdout + main results ledger)	ICRA2027-edge	2026-09-12	verified
D01	5_edge Protocol	Seven actual units, Pi4 cooling/revisions; camera model identities differ from cached fits winners	7 units; Pi4 4GB c03112/c03111; nano384/.04	device_results/pi4_bare_camera_20260912/provenance/cpu_student.py; pi4_heatsink_camera_20260911/provenance/cpu_student.py; imx95_frdm_setup_20260911/final_setup_audit.json; camera result physical_setup	Codex-test; independent critic review requested	2026-09-12T03:26:06+03:00	independently closed by Codex-critic (device_protocol_closure 2026-09-12) at recorded-provenance scope
D02	5_edge Protocol	Camera power integration and energy boundary; cached NXP sampling differs	camera1Hz; NXP10targets; E/N same observed interval	device_results/imx95_frdm_camera_20260912/provenance/collection_contract.py; imx95_frdm_measurements_20260912/README.md	Codex-test; independent critic review requested	2026-09-12T03:26:06+03:00	independently closed by Codex-critic (device_protocol_closure 2026-09-12) at recorded-provenance scope
D03	5_edge NPU	Normal FRDM QAT2 timings are cached pipeline and mixed NPU/CPU inference; native quality measured on Pro	46.03268/46.19251ms pipeline;34.381/34.545ms inference;6.81W;4.77W;313.023mJ	device_results/imx95_frdm_measurements_20260912/cases/qat2; imx95_frdm_deployment_20260912/provenance/selected_detector.py; nxp_selected_test_20260910/metrics.json	Codex-test; independent critic review requested	2026-09-12T03:26:06+03:00	independently verified down to timing arrays and fixed power samples (frdm_cached_scalar_audit: 16 hashes; 46.03/46.19 ms pipeline, 34.38/34.54 ms inference, 4.77/6.81 W, 21.76/s, 313.0/93.8 mJ). SCOPE: cached timing uses decode_conf .25 and excludes result-object conversion; cached power uses the deployment conf .04 and includes it - named protocol differences, not one full-loop workload; 46 ms is not an exposure-to-alert camera latency
D04	5_edge camera	Four600s camera policies; max warmup300s, frozen384/.04 Pi4/QAT2; recapture not native quality	4x600s per scene;300s warmup	device_results/pi4_bare_norip_20260912/PREPARATION.json; imx95_frdm_camera_20260912/PREPARATION.json	Codex-test; independent critic review requested	2026-09-12T03:26:06+03:00	independently closed by Codex-critic (device_protocol_closure 2026-09-12) at recorded-provenance scope
C40	5_edge camera	RPi 4 bare no-rip windows (dense yolo26n): det 1 Hz / gated / adaptive / max W and max dec/s	5.56 / 5.24 / 5.23 / 7.18; max 4.293/s	results/camera_policy_rows.tsv <- device_results/pi4_bare_norip_20260912/cases/norip/*/result.json	ICRA2027-edge (Codex-test HEALTH audits)	2026-09-12	verified; both Pi 4 camera runs use the dense yolo26n (not the fits-rule expert-s) - stated in Protocol; scalars independently verified by Codex-critic (16 windows/112 hashes); reporting_status in the source result.json is still pending_review -> Codex-test to add a versioned acceptance record; Pi 4 camera windows formally ACCEPTED: device_results/paper_writing_20260912/PI4_CAMERA_ACCEPTANCE_V1.json (16 windows, 112 hashes; source records unedited); whole camera table independently re-audited (Codex-critic camera_table_audit 2026-09-12: 55 rows, 434 artifact hashes, 0 mismatches)
C14	3_method;4_setup	Split counts and TRAIN-only construction	165/68/71 videos;31083/10369/9559 frames	RipBench_v1.2.0/labels/bbox_from_instance/yolo26/{train,val,test}.txt (sha256 ec8c2a31…/2d4e498b…/8a02c008…); data/train_frames_manifest.tsv (6e56a9de…); verification: plans/critic/codex/paper_edits/2026-09-12_training_manifest_audit.json	Codex-critic	2026-09-12T02:25:01.887023+02:00	independently verified (Codex-critic training_manifest_audit, 2026-09-12); artifact identities recorded
C15	3_method	Native and teacher label view sizes and smoothing	191619 native;191258 retained;155k/29k boxes; +/- .25s; IoU.5;tau.24	data/train_frames_manifest.tsv (sha256 6e56a9de…; n_extracted sum 191,619, check_ok all); icra_edge_views/t1_rfdetr_seg_nano_k0.25_t0.24_s1/build_info.json (31,083 expert + 160,175 dense = 191,258 images; 29,400 / 155,241 boxes; tau .24, k .25 s, IoU .5); audit json as above	Codex-critic	2026-09-12T02:25:01.887023+02:00	independently verified (Codex-critic training_manifest_audit, 2026-09-12); artifact identities recorded
C16	3_method	Model size FLOPs and training recipe	n2.5M/5.8G;s10M/22.5G;640px;batch32;300/50 vs60/15	training log summaries (unfused): yolo26n 2,504,190 params / 5.8 GFLOPs, yolo26s 9,948,638 / 22.5 GFLOPs (/mnt/linux/icra_edge/train_student_queue.log, sha256 3fe85edc28eb7c1688b541dfcfa370fec282d4ae14049294e92cbe2bd7a292bf); fused export 2,375,031 / 5.2 G and 9,465,567 / 20.5 G; optimizer=auto -> MuSGD(lr .01, momentum .9)	Codex-critic	2026-09-12T02:25:01.887023+02:00	independently verified (Codex-critic training_recipe_audit); paper says 'optimizer=auto' (was 'SGD')
C17	4_experiments table1	All mean/std/AP cells and density curve	all36 Table1 numeric cells; density curve separately source-matched	results/student_summary_by_variant.tsv; paper/RESULTS.md	Codex-critic	2026-09-12T02:39:59.996263+02:00	independently verified (Codex-critic main_table_scalar_audit): all 36 Table 1 cells
C18	4_holdout	Holdout allocation, counts, seeds and teacher quality	83/82;37 unlabelled no-rip;3 seeds n;2 seeds s;.577/.697 teacher	data/holdout_h50_seed0.tsv (sha256 4df5255d…; 83 labelled = 46 rip + 37 no-rip, 82 withheld = 45 + 37); paper/RESULTS.md holdout ledger; audit json as above	Codex-critic	2026-09-12T02:25:01.887023+02:00	independently verified (Codex-critic training_manifest_audit, 2026-09-12); artifact identities recorded
C19	4_holdout	Holdout control and full-label comparisons	.006[-.042,.039];-.011[-.056,.074];.066[.001,.162];.061[-.011,.171];-.025[-.224,.113]	paper/RESULTS.md DECISIVE RESULT; student_bootstrap_cis.tsv GROUP_PAIRS h50_*	Codex-critic	2026-09-12T02:25:01.887023+02:00	source-matched ledger; no equivalence claim
C20	4_holdout	Larger student uses interpolated half labels	.360/.416;2 seeds;.057[.005,.108]	paper/RESULTS.md holdout yolo26s rows	Codex-critic	2026-09-12T02:25:01.887023+02:00	source-matched ledger; title must allow capacity dependence
C21	4_holdout	Pseudo-label imperfections and empty-frame ablation	.765/.611;1236/7112 empty;1030/32169 no-rip;4/37 concentrated;.008[-.015,.030]	paper/RESULTS.md teacher_h50_unlabelled_stats.tsv; c-drop comparison	Codex-critic	2026-09-12T02:25:01.887023+02:00	source-matched ledger; c-drop1 vs c3 seeds
C22	4_main;4_ablations	Negatives, label smoothing, KD and schedules	.029[.001,.069];.020[-.009,.043];-.003[-.040,.0342];-.019[-.089,.029];-.026[-.074,.026]	paper/RESULTS.md Seed-pooled paired deltas	Codex-critic	2026-09-12T02:25:01.887023+02:00	source-matched ledger; unresolved is not no effect
C23	4_label_agreement	Teacher-interpolation agreement and difference	105724 frames;.985/.988;.915 medianIoU;.024[-.019,.105]	paper/RESULTS.md Why they match; Seed-pooled paired deltas	Codex-critic	2026-09-12T02:25:01.887023+02:00	source-matched ledger; similarity does not prove teacher can add no information
C24	4_main;6_limits	Per-video distribution	dense median.104 vs canonical.246;4 above.85;15 below.10;31rip40NR	results/pervideo_f2_test.tsv	Codex-critic	2026-09-12T02:25:01.887023+02:00	independently checked medians/counts; pooled-box scope
C25	4_alarm;5_edge	Causal smoothing and cadence gains	.026[.013,.042];.023[.017,.033];24/24;cadence+.025/+.033	paper/RESULTS.md smoothing sections; results/smoothing_at_cadence_val.tsv	Codex-critic	2026-09-12T02:39:59.996263+02:00	verified cadence VAL means .0248/.032933 for dense-n; paper now scopes smoothing gains to dense-n VAL and states the RF-n runtime is unsmoothed (C36); benchmark-checkpoint smoothing pair corrected to 0.437 -> 0.464 (paired baseline at val-selected conf .05 = 0.4369; the intro's 0.44 is the benchmark's own published recipe number) per Codex-critic smoothing_baseline_pair
C26	4_spacing	One-seed spacing sweep	.470/.520/.474/.432 at anchor strides2/4/8/16	paper/RESULTS.md Label-spacing sweep	Codex-critic	2026-09-12T02:25:01.887023+02:00	source-matched; equivalence claim removed (descriptive one-seed sweep)
C27	4_alarm	Strata, offline alarm coverage and gate preprocessing	22 elevated;17 moving;+.126/+.090;alarm .70+-.04/.76+-.04;84/96% transform agreement	paper/RESULTS.md strata/alarm; gate preprocessing review	Codex-critic	2026-09-12T02:25:01.887023+02:00	independently verified (Codex-critic alarm_strata_audit 2026-09-12: alarm means .763/.699, no-rip .358/.350, gate agreement .842/.962); strata wording hedged (intervals include zero), 'similar false-clip fractions', frozen-operating-point boundary stated in Limitations
C29	5_device_ladder	All table2 latency, accuracy and energy cells	all model/size/precision rows, named boundary	results/device/jetson_trtexec_latency.tsv; device_eval_*.tsv; power ledgers	Codex-critic	2026-09-12T02:25:01.887023+02:00	independently verified (Codex-critic device_table_cell_audit 2026-09-12: all 66 Table 2 cells mapped to source rows, 0 rounding mismatches; sources device_eval_tight.tsv, jetson_trtexec_latency.tsv, jetson_orin_latency_summary.tsv, orin_qdq_v3/power/power.tsv)
C30	5_protocol	Calibration sample count and class composition	128=85rip+43NR	plans/critic/codex/2026-09-06_monitoring.md manifest audit	Codex-critic	2026-09-12T02:25:01.887023+02:00	verified 128 = 85 rip + 43 no-rip; paper says '128 fixed training frames'
C31	5_classifier_only	Classifier-only alarm operating point	.9 threshold;.74rip/.23false;2.3x false clips	results/classify_only_alarm_test.tsv; classify_only_alarm_val.tsv	Codex-critic	2026-09-12T02:39:59.996263+02:00	independently verified (Codex-critic classifier_only_scalar_audit)
C32	5_gates	All original deployment gate rows and timing definitions	G1--G5 thresholds, outcomes,31/40 videos,1000bootstrap	paper/RESULTS.md; original deployment gate artifacts	Codex-critic	2026-09-12T02:25:01.887023+02:00	retain historical failures; source scope exact-row verification; G4 evidence cell corrected to the cached pipeline boundary: 6.1 ms (3.163+2.838+0.130 ms, MAXN in-process, jetson_orin_latency_summary.tsv dense-n 384 FP16 row = 163.1 fps), not the 2.44 ms trtexec engine time (Codex-critic g4_pipeline_boundary 2026-09-12)
C33	5_camera	Pi5 exemplar repeat spread	6repeats;per-policymaxrange.386627W	plans/critic/codex/2026-09-12_camera_scalar_audit.json; results/device/camera_rows.tsv	Codex-critic	2026-09-12T02:25:01.887023+02:00	verified per policy; retrospective selection retained
C34	3_method;5_protocol	Runtime settings and protocol claims	300frames50warmups3repeats;TRT300iterations5s;softwareversions;thermal65C	per-row device TSV and provenance manifests	Codex-critic	2026-09-12T02:25:01.887023+02:00	owner reconcile exceptions; ten fixed duty samples differ from1Hzcamera
C35	title;intro;conclusion	Supervision improves deployed alarms; all energy platform-floor	comparative causal claims	C01--C13; per-board selected models; camera rows	Codex-critic	2026-09-12T02:25:01.887023+02:00	disputed as generalizations; replacement framing supplied
C36	5_edge cadence	RF-n camera runtime decodes current-frame detections without temporal output smoothing	source-code scope; no new numeric result	night_camera_20260910/orin/provenance/run_rip_cascade.py:179; pi5_unattended_20260911/provenance/run_rip_cascade.py:176; latest_frame_runtime.py	Codex-critic	2026-09-12T02:39:59.996263+02:00	verified source inspection; separate dense-n VAL cadence gains
C41	5_edge camera	i.MX95 FRDM (normal board) rip windows, QAT2 NPU+CPU: det 1 Hz 7.04 W / gated 7.07 W / adaptive rejected (5.01 s power gap) / max 8.40 W at 19.5 dec/s	7.04 / 7.07 / -- / 8.40; 19.466/s	results/camera_policy_rows.tsv <- device_results/imx95_frdm_camera_20260912 (detector_only), imx95_frdm_camera_retry2_20260912 (cascade), imx95_frdm_camera_tail_20260912 (max); adaptive rejection retained in device_results	ICRA2027-edge (Codex-test terminal health audits; original reporting_status pending_review, superseded by FRDM_CAMERA_ACCEPTANCE_V1)	2026-09-12	formally accepted: device_results/paper_writing_20260912/FRDM_CAMERA_ACCEPTANCE_V1.json (power exclusions retained); scalars independently verified by Codex-critic
C42	5_edge camera	i.MX95 FRDM no-rip windows (QAT-n): gated 7.03 W with 0 detector calls and maximum 8.38 W at 19.6 dec/s accepted; detector-only and adaptive power-rejected (>=5 s gaps) -> no gated-saving figure quoted	7.03 W; 8.38 W / 19.607 per s; rej. x2	results/camera_policy_rows.tsv <- device_results/imx95_frdm_norip_20260912/cases/norip/*/result.json; Codex-critic frdm_norip_camera_audit.json (18 hashes)	ICRA2027-edge; Codex-critic	2026-09-12	formally accepted (FRDM_CAMERA_ACCEPTANCE_V1.json); scalars independently verified by Codex-critic (frdm_norip_camera_audit)
D05	5_edge precision ladder	Mode-invariant net energy and idle-only causal explanation withdrawn; named7W table energy cells retained	Approx16mJ invariance claim withdrawn	device_results/home_takeover_20260909/source_snapshot/plans/critic/codex/2026-09-06_ICRA2027-device_table_ingestion.md, item2 and partial closure; no new inference	Codex-test; earlier Codex-critic objection	2026-09-12T04:58:47+03:00	unsupported generalization removed; does not alter verified Table III cells
C43	5_edge tier	RPi 4 / Nano deploy the expert-label yolo26s by the declared rule: validation alarm-level video-F2 0.861 (expert-s, frame conf .07) vs 0.845 (dense-s, frame conf .02); on the Orin test read 20/31 vs 19/31 rip videos, 5/40 false clips both (Nano expert-s: 6/40)	0.861 vs 0.845 (val)	results/alarm_op_rule_val.tsv (frame_vF2 column at the retained frame operating points; alarm_vF2 is the rejected alternative threshold); paper/TEST_CONSUMPTION.md pre-declaration 4 amended 2026-09-07 (before the extended reads)	ICRA2027-edge	2026-09-12	verified (val-side selection, pre-declared); Codex-critic selection_rule_closure 2026-09-12
L01	2_related (literature, qualitative)	Chuang, Chen & Lien 2026, J. Mar. Sci. Eng. 14(5):496 (doi 10.3390/jmse14050496): deep-learning rip-current warning framework = automated detection (YOLOv4) + adaptive time-averaged imagery + expert verification (lifeguards / beach-management officers) before an alert; pilot tested on live coastal webcam data from a government-owned pan-tilt-zoom webcam (Taitung County, Taiwan); training and inference on a workstation with an NVIDIA RTX 3090. Qualitative positioning only; no performance number of theirs is compared with ours.	none (qualitative)	Crossref metadata + Semantic Scholar abstract (2026-09-14); full text PDF (the PI's copy, 25 pp.): 'Pilot testing using live coastal webcam data'; 'The Taitung government has installed a pan-tilt-zoom webcam'; Table 2 'Government-owned'; 'Training and inference were performed on a workstation ... NVIDIA RTX 3090 GPU (24 GB)'; expert-verification sentence in the abstract	ICRA2027-edge	2026-09-14	verified (full text)
L02	2_related (literature, qualitative)	Khan et al. 2025, Front. Mar. Sci. 12 (doi 10.3389/fmars.2025.1549513): RipFinder, a mobile app detecting rip currents in real time through the phone camera; client-server ML design that works with or without internet connectivity; educational and citizen-science functions. Qualitative positioning only.	none (qualitative)	Crossref metadata + Semantic Scholar abstract (2026-09-14): 'mobile app ... phone's camera to identify these hazardous rip currents in real time'; 'client-server ML model-based computer vision system'; 'function with or without internet connectivity'	ICRA2027-edge	2026-09-14	verified (abstract)
L03	2_related (literature, qualitative)	Khan et al. 2025, IEEE JSTARS 18 (doi 10.1109/JSTARS.2025.3543695): RipScout, real-time ML rip detection running on the drone controller (lightweight models, no internet), automated hover-and-circle data collection on detection, field-tested; releases a multi-viewpoint dataset. Its own 93.1% accuracy / 17 fps figures are not comparable with ours and are not to be quoted as a comparison.	none (qualitative)	Crossref metadata + Semantic Scholar abstract (2026-09-14): 'realtime rip current detection and data collection using drones'; 'lightweight ML models ... with the drone controller'; 'No internet connection is required'; 'We conducted field tests'	ICRA2027-edge	2026-09-14	verified (abstract)
L04	2_related (literature, qualitative)	RipFinder (Khan et al. 2025, doi 10.3389/fmars.2025.1549513): its test-video comparison results are used to justify the client/server model design choices (Sec. 5.1: 'Based on these results, we can justify the following two design choices we made'; Sec. 5.4.2: chosen models evaluated on a server GPU, an iPhone 12 Pro and a Pixel 6 'to determine the best-fit models for each platform'); Sec. 6.1 leaves 'a systematic evaluation of model generalization across different data sources and acquisition methods' to future work; the app runs client-side models with or without internet (Secs. 3.1, 5.3.3). Qualitative; states a selection scope, asserts no train/test leakage.	none (qualitative)	Frontiers full article read 2026-09-14 (quotes above)	ICRA2027-edge	2026-09-14	verified (full text)
L05	2_related (literature, qualitative)	Ishikawa, Shimada & Komine 2023, Japanese Journal of JSCE 79(17), doi 10.2208/jscejj.23-17012: an AI rip-current detection model created for Yuigahama beach (Kamakura) and 'actually operat[ed] ... on the study beach during summer season'; the paper reports its own accuracy/precision/recall (88/17/100 %) which are not comparable with ours and are not to be quoted as a comparison. Cite operation, not efficacy.	none (qualitative)	Crossref metadata + J-STAGE English abstract read 2026-09-14	ICRA2027-edge	2026-09-14	verified (abstract)
L06	2_related (literature, qualitative)	Kamakura City press notice, 1 July 2025 (city.kamakura.kanagawa.jp/kisya/data/2025/20250701-3.html): the 'Sea Monitoring System' analyses beach cameras with AI to detect dangerous rip currents and notifies swimmers and lifesavers; operating at Yuigahama since 2022 and Zaimokuza since 2024; introduced by Kamakura City with cooperation from the Japan Lifesaving Association and Chuo University and support from the Nippon Foundation; FY2025 adds a public web app (WaterSafetyeye). Documents routine seasonal operation by a municipality; no detector-accuracy audit.	none (qualitative)	primary municipal page fetched 2026-09-14 (Japanese; key sentence quoted in REQUESTS_TO_EDGE REPLY 6)	ICRA2027-edge	2026-09-14	verified (primary page)
L07	2_related (literature, qualitative)	Republic of Korea, Ministry of Oceans and Fisheries notice, 29 June 2026 (korea.kr, newsId=148967197): seasonal (June-September) rip-current monitoring service at 10 beaches (Haeundae, Songjeong, Imrang, Gyeongpo, Naksan, Sokcho, Mangsang, Daecheon, Jungmun, Goraebul) offering a four-level rip-current index (관심→주의→위험→경계), AI-based real-time CCTV video and ocean-observation information, published through the mobile app and the KHOA website; the notice lists these as service components and does not state how the index is computed. Documents an operating government service; no audited detector accuracy and no link to the papers above.	none (qualitative)	primary government page fetched 2026-09-14 (Korean; key phrase: '4단계 이안류지수 ... AI 기반 실시간 CCTV 영상 · 해양관측정보')	ICRA2027-edge	2026-09-14	verified (primary page)
L08	method source	RF-DETR (teacher RF-DETR-Seg-nano and reference detector RF-DETR-n/s): Robinson, Robicheaux, Popov, Ramanan, Peri, 'RF-DETR: Neural Architecture Search for Real-Time Detection Transformers', arXiv:2511.09554 (v2 2026-02-03, lists ICLR 2026 acceptance per Codex-critic); cite consistently as the preprint or ICLR 2026.	none	arXiv API 2026-09-14 (id 2511.09554v2, published 2025-11-12)	ICRA2027-edge	2026-09-14	verified (arXiv metadata)
L09	method source	YOLO26 students/gate (yolo26n, yolo26s, yolo26n-cls, yolo26x KD teacher): Jocher, Qiu, Liu, Lyu, Akyon, Kalfaoglu, 'Ultralytics YOLO26: Unified Real-Time End-to-End Vision Models', arXiv:2606.03748, 2026 (the official model paper requested by docs.ultralytics.com/models/yolo26; not the unrelated third-party YOLO26 overviews).	none	arXiv API 2026-09-14 (id 2606.03748v1, published 2026-06-02)	ICRA2027-edge	2026-09-14	verified (arXiv metadata)
L10	method source	DINOv2 backbone of RF-DETR: Oquab, Darcet, Moutakanni, Vo et al., 'DINOv2: Learning Robust Visual Features without Supervision', arXiv:2304.07193, 2023 (TMLR 2024).	none	arXiv API 2026-09-14 (id 2304.07193v2)	ICRA2027-edge	2026-09-14	verified (arXiv metadata)
L11	method source	COCO initialisation of the students: Lin, Maire, Belongie et al., 'Microsoft COCO: Common Objects in Context', ECCV 2014, LNCS, Springer, doi 10.1007/978-3-319-10602-1_48.	none	Crossref 2026-09-14	ICRA2027-edge	2026-09-14	verified (Crossref)
L12	method source	Video-level bootstrap intervals (B = 1000): Efron & Tibshirani, 'An Introduction to the Bootstrap', Springer, 1993, doi 10.1007/978-1-4899-4541-9.	none	Crossref 2026-09-14	ICRA2027-edge	2026-09-14	verified (Crossref)
L13	method source	Explicit Q/DQ INT8 quantisation and calibration: Wu, Judd, Zhang, Isaev, Micikevicius, 'Integer Quantization for Deep Learning Inference: Principles and Empirical Evaluation', arXiv:2004.09602, 2020.	none	arXiv API 2026-09-14 (id 2004.09602v1)	ICRA2027-edge	2026-09-14	verified (arXiv metadata)
L14	method source	Knowledge distillation (origin, optional if space): Hinton, Vinyals, Dean, 'Distilling the Knowledge in a Neural Network', arXiv:1503.02531, 2015. Detector KD (chen2017) and FGD (key zhang2021lgd = Yang et al. CVPR 2022) already cited.	none	arXiv API 2026-09-14 (id 1503.02531v1)	ICRA2027-edge	2026-09-14	verified (arXiv metadata)
C44	4_experiments alarm definition	Alarm event definition used by every alarm-level number: ticks are sampled from the kept-frame sequence at the duty cycle (1 Hz unless stated); a tick is positive iff the gate is open (prob >= 0.50; always open without a gate) AND the detector emits a box at or above the validation-frozen confidence; K = N = 1 (no persistence) for the deployed configuration; a rip video is alarmed if any positive tick occurs at or after its first expert-annotated rip frame (t0); a no-rip clip is false-alarmed if it contains any positive tick; time-to-alarm = first positive tick >= t0 minus t0, summarised (median/p90) over alarmed videos only.	definition	paper/scripts/event_metrics.py replay() lines 84-96 (flags = gate_open and positives; k-of-n window), lines 122-135 (hit = any alarm >= t0; TTA from 'after'); paper/scripts/deployed_cascade_metrics.py K, N = 1, 1 (line 42), hit/fa (lines 69-77)	ICRA2027-edge	2026-09-14	verified (code read; no computation)
C45	IV-B selection rule (review item a.02)	Validation ranking used for board selection: video-F2 (5TP/(5TP+4FN+FP) over rip videos alarmed/silent and false-alarmed no-rip clips) at 1 Hz, gate 0.50, K=N=1, each detector at its validation-selected frame-F2 confidence: RF-DETR-n 0.872 (conf .23), expert-label yolo26s 0.861 (.07), dense yolo26s 0.845 (.02), RF-DETR-s 0.845 (.26), RF-DETR-m 0.833 (.31), dense yolo26n 0.811 (.04); the subsequent alarm-threshold sweep kept every frame confidence (gain <= +0.028, verdict KEEP FRAME OP for all six). Tie-break WAS declared in the amended pre-declaration 4 (paper/TEST_CONSUMPTION.md, 2026-09-07 06:43: 'ties -> smaller model'); the only equal pair (dense yolo26s / RF-DETR-s, 0.845) never decided a selection (both below RF-DETR-n on the Pi 5). [My 2026-09-15 16:24 'no tie-break declared' claim was wrong; corrected on the writer's Request 17.] Ranking uses stored workstation (x86) validation dumps; board replay uses the 640 px INTER_AREA JPEG copies (make_ws_copy_dumps.py).	0.872/0.861/0.845/0.845/0.833/0.811	results/alarm_op_rule_val.tsv (frame_conf, frame_vF2, verdict); alarm_op_rule_val.py GATE, DUTY, K, N = 0.50, 1.0, 1, 1; board_bench.letterbox INTER_LINEAR; make_ws_copy_dumps.py docstring	ICRA2027-edge	2026-09-15	verified
